,sentiment,text
358,negative,good question mix shift dramatically long ago come high watermark shift term think important issue go back paul think new normal get year budget little bite million shale shale think number likely grow rather get fgp peak spend year year amount little bite billion move past fleet come create room thing could include could include shale tight major capital
359,negative,deepwater incent ratable development program think one thing learn past cycle large mcp underway simultaneously introduce execution risk intent would balance approach go forward find overly skew kind risk become issue difficult manage get really strong shale tight think plus base business require typically short cycle trip go capital spend cash think kind range today likely plus minus range would see future oppose something flip back
360,negative,beat pasadena refine horse little bite hard part acquisition indicate undeveloped wrong think refine acquisition maybe think infrastructure opportunity across think move towards crude export
361,neutral,think reason disclose asset simply port tankage mention couple time goal integrate mean upstream system downstream system trade young pup one lesson learn susan engineer one refinery cheap process refinery call
362,positive,thank strong total revenue reflect benefit ongoing investment deliver exceptional experience user compel return partner enterprise
363,positive,compensation total headcount end quarter last consistent prior majority new hire engineer product term product sizable head count increase cloud technical sale
364,positive,operate income versus last year operate margin income expense include billion unrealized gain relate debt security provide detail line item within earn press
365,positive,effective tax rate fourth reflect discrete benefit due reversal accrual make result update guidance associate tax net income billion earn per dilute share
366,neutral,turn capex operate cash cash capex quarter discus google segment operate cash flow billion free cash flow end quarter cash marketable security approximately
367,positive,let turn segment financial start google revenue term revenue google sit revenue billion term dollar result lead mobile strong contribution youtube follow desktop network revenue reflect ongoing momentum admob google ad
368,positive,revenue google fuel hardware continue provide monetization metric earn press release give sense price volume dynamic advertise
369,positive,total traffic acquisition cost billion total advertise revenue total tac percentage total advertise revenue primarily reflect favorable revenue mix shift network increase tac rate drive ongoing shift carry high follow change partner agreement offset seasonally high proportion youtube advertise revenue fourth
370,positive,network tac rate decline primarily due revenue mix shift within programmatic google compensation total billion operate income versus last year operate margin capex quarter reflect investment office
371,neutral,let turn talk cover result remain instructive look financials bet discus prior result quarter earn
372,negative,bet revenue versus primarily generate fiber operate loss bet billion versus operate loss billion bet accrue capex million primarily reflect investment
373,positive,fourth revenue billion constant continue benefit ongoing strength mobile search important contribution cloud desktop
374,positive,key recent accomplishment waymo launch waymo enable participant use app hail pay also verily recently announce billion investment round lead silver lake advance plan complementary additive current life science investment course addition million raise temasek
375,positive,let close observation priority respect revenue growth power particular ongoing benefit innovation sit eight billion user people come online every remain excite opportunity continue create valuable experience user around
376,positive,see significant ongoing potential apply machine learn capability across advertise machine learn enable innovation advertiser ability match consumer intent bite effectively improve also enhance ability small business benefit advertise
377,positive,machine learn also drive differentiation new google like cloud well central number notably waymo look couple thing say many continuously work enhance user advertiser experience make change focus best interest user advertiser time introduction new search advertise vary result impact quarterly
378,positive,fx tailwind first half year turn headwind third fourth line strengthen base continue strengthen expect headwind report versus fix fx result first contrast favorable impact fx first quarter
379,positive,turn investment term gross big component within cost revenue remain traffic acquisition reflect strong revenue growth mobile search fact mobile search carry high tac desktop discus prior pace growth sit tac percentage sit slow first quarter expect sit tac rate continue increase reflect ongoing strength mobile
380,positive,within remain focus prioritization order optimize resource growth sizable see u continue support priority area increase remain concentrate although expect growth rate moderate also saw continue progress goal nurture new business outside bet model
381,neutral,say previously monolithic approach bet execute share principle align employee interest value creation since important part approach google stock grant comprise meaningful component overall compensation across employee
382,positive,increasingly follow approach bet compensation program align employee company see impact program fourth quarter accrue compensation expense reflect increase valuation equity certain expense time evaluation event unpredictable vary debt affect quarterly
383,positive,capital primary use continue support organic growth follow retain flexibility take need board authorize repurchase additional billion class c capital
384,neutral,begin review result quarter consolidate basis alphabet focus review result google follow conclude sundar discus business product highlight take
385,positive,respect continue invest compute requirement office although expect capex growth rate moderate quite another great tremendous ongoing opportunity ahead
386,positive,last set bring benefit ai everyone proud tremendous progress make towards smart compose gmail new google news call screen pixel improve overall safety help people get thing do every beyond ai also help u drive mission forward scale imagine year
387,negative,google al jeff dean recap result effort great post ai accuse ai good deduct spread breast provide flood information encourage everyone check
388,positive,also launch google ai impact challenge help nonprofit find way use ai solve social environmental addition progress ai saw great traction across new like google core area search map new use youtube compute advertise platform continue strong
389,positive,everything google unite mission make information accessible useful provide accurate trust information scale internet reach extremely complex one constantly get year experience information strive good anyone
390,positive,feel deep sense responsibility right thing continue build privacy security core keep use data safe secure best security system give people good clear see u continue lot
391,positive,today start share new way work towards give update video advertise follow late hardware cloud close thought investment around advance mission make information accessible google assistant great example help people throughout day demonstrate ce last month lot excite new partner
392,positive,lenovo smart clock wake morning navigation help build interpreter translate conversation across dozen language google speak past year google assistant expand eight language country nearly language number active user u device google assistant get good
393,positive,lot great progress area last announce launch activity card search topic previously quickly see already pick leave thank strength ai google lens use smartphone camera help identify billion see item lens show similar along useful information like product
394,positive,continue see great momentum across compute android announce android officially support affordable phone partner like samson introduce first portable device see continue traction manufacturer adoption android recently announce new medium message feature significantly simplify improve car dashboard
395,negative,let start summary consolidate financial performance total revenue billion reflect negative currency impact million million impact hedge
396,positive,build speed simplicity security chrome partner like asus introduce slew great consumer enterprise chromebooks last month let provide update video advertise start
397,positive,see great traction new experience youtube music youtube premium available nearly country five country start last youtube tv announce expand nationwide cover household rest follow youtube continue invest thrive community creator build great feature nearly billion monthly log
398,positive,instance expand access tool like story community poll strengthen connection france one new breakout ariana premiere official music video thank next november hold record big music video debut youtube history earn million view first
399,positive,drive revenue youtube creator community establish channel newly emerge number youtube channel million subscriber nearly double last number creator earn five six figure grow big priority youtube continue work quickly find remove content violate content
400,neutral,important challenge advance machine learn investment human make continue touch recent highlight advertise continue go strength warner brother embed first film ad youtube reach record number
401,positive,million user single viewer watch trailer lego movie black serve original film free within great example advertiser continue delight user performance advertiser love trueview direct response since product launch march advertiser use trueview action new buy inc video ad
402,positive,also announce global strategic ad tech relationship walt disney company across entire portfolio brand google ad manager core disney able serve across digital property web mobile apps connect tv even live
403,positive,shop also front center help retailer reach people busy holiday shop number shop daily active user double compare last thank part new feature like product list module showcase popular product across
404,positive,small retailer also benefit automate bid solution like smart shop live impressive progress since launch grow hardware holiday new line make google device top many best response shopper equally
405,positive,another record year google home family million sell holiday help people easily get thing do around people use google home device cook million recipe holiday million christmas day new smart display particularly one every seven google home device activate holiday season google home
406,positive,turn alphabet revenue see performance strong revenue emea revenue report constant currency term slight headwind primarily
407,positive,launch significant advance computational photography pixel three feature night sight lowlight also expand availability four grow cloud want thank diane greene leadership last three
408,positive,google cloud business support major global company every important vertical robust enterprise case three year diane team work do hand rein thomas thrill new cloud
409,positive,google cloud close strong momentum across last double number google cloud platform deal million well number multiyear contract also end year another pas million pay customer cloud collaboration productivity solution g focus help customer digitally transform business pay
410,positive,continue see strong growth major geography industry financial sign agreement two top financial institution help transition business google cloud highly secure brand like bed bath dsw ulta beauty use cloud manage data provide personalize experience
411,positive,medium telegraph go google cloud data machine learn support global launch google cloud region announce plan new region see invest many incredible opportunity across would also invest community around world right recently europe open new office help u double number googlers work
412,positive,across invest billion five data center since announce new data center come estimate data center generate billion gdp last course amount generate publisher app developer partner across region order magnitude
413,positive,also continue substantial investment throughout last make significant investment new expand office open door new office detroit announce invest billion capital improvement establish new campus new york begin open
414,positive,also continue invest data center construction important investment lay groundwork future compute need primarily machine learn across also support opportunity see ad year still tremendous opportunity google help people save learn new grow business build strong want thank every googler around world make great year user
415,neutral,thank much take never number brand marketplace youtube youtube think position brand global especially mobile consume medium global scale position brand want come back comment revenue versus extend respect sound like call youtube strong quarter revenue depress expense license content thing like music youtube ad think driver permanent versus seasonal thank
416,positive,thank youtube core effort around main youtube product work scale globally across world see continue engagement commit make sure premium experience deliver content people would want youtube music important part invest know youtube tv definitely excite differentiate long run value u bring advertise product together include able serve across clearly invest area see pretty thorough make sure investment deliver growth monitor metric beat engagement revenue growth see lot opportunity
417,negative,apac revenue versus last year constant reflect weakness australian america revenue constant reflect weaken brazilian real argentine
418,positive,term revenue investment sundar continue benefit secular change way user consume content reflect strong revenue brand advertise remain large part grow strong pace say open particularly excite significant growth direct response trueview action app promo format deliver great value user drive growth across region term think refer within cost primary driver fourth quarter increase content acquisition cost due youtube growth ad support content typically seasonally strong also new subscription high tac percentage revenue excite growth see
419,neutral,thank much take one ruth one look segment operate loss high fourth quarter year safe assume investment waymo flush little bite u bet besides worthy call term great decrease wonder could provide u commentary good cloud talk investment ruth term headcount growth technical sale role new leadership mention thing new thomas kurian kind cloud accelerate next phase growth thank
420,positive,term investment level major point invest across bet commencement think require kind look opportunity set go regular process weekly business review quarterly board review try calibrate appropriate pace term increase indicate open accrue comp expense number bet really reflect increase valuation equity certain
421,neutral,one thing evident towards end last year inability win large customer global company multiyear definitely something want focus think dyne thomas work closely transition lot continue see clear u product offer ready differentiate want invest scale term direct sale channel maybe see u focus area clearly see geographic region care six main vertical momentum within product five major area clearly define product differentiate feature excite traction get large win look forward execute
422,neutral,thank take want ask think strong google sit growth actually help u understand mobile search innovation think really drive thing beyond underlie secular particular focus perhaps retail think opportunity want go back comment want say headcount specifically think moderate talk overall opex thank
423,positive,first obviously thousand engineer work continually launch search think lot clear hard work go make sure search mobile work really well remove friction constantly work get bite quick fast make make set continual innovation mentality long really work
424,positive,specific comment think reference point headcount continue hire support growth particularly hire engineer product manager google continue support growth try draw continue growth rate moderate
425,neutral,thank question seem like want share update revenue run wonder maybe share u see term growth particular grow fast competitor disclose public maybe help think pace growth cloud secondarily wonder give u sense type commonality type might run work frequently thank
426,positive,term cloud continue deliver sizable revenue growth drive gcp gcp remain one business across sundar double number gct contract great also see really nice uptick number deal great million really please success penetration update
427,positive,think maybe specifically couple definitely see clear strength data management take spec retail take someone like important application ability help deploy cloud native application differentiator customer like multi ability run cloud service across cloud term important global multinational company like see wide variety clearly focus infrastructure application data management smart course g suite productivity core area invest product see great traction
428,positive,consolidate total cost revenue include discus google segment cost revenue consolidate basis primarily drive
429,neutral,thank take first one go back youtube strong sound like brand advertise new direct response think innovation see one two big opportunity improve quality efficacy ad provide advertiser youtube get couple last maybe talk u see next one two big factor really focus ensure waymo become could
430,positive,still think early day make sure youtube good platform direct response trueview action still see great think lot think set feature launch last year make sure work think lot long think youtube place see user come come find come learn come research able match intent time way bring right value user think long run take right foundational step realize
431,positive,term know intently focus safety first ensure great user expand please continue broaden service phoenix area focus expand number rider geographic reach around conversation number interest city continue explore apply technology logistics delivery personal use vehicle last mile solution continue execute describe
432,neutral,two could provide little color expense build anything unusual comment cadence hardware multiyear seem like series new product try report make sure understand could talk strategic maybe synergistic impact see hardware rest rest think still early day maybe paint picture significant synergy could thank
433,positive,start main driver ongoing investment google say sizable increase accrue comp bet build bite give bite certain employee compensate believe alignment interest ass valuation ongoing formal valuation assessment every month significant see fourth quarter impact high valuation certain talk goal alphabet structure enable u build new business would make positive impact create still early day excite opportunity see impact way approach consistent way startup typically include technical progress range
434,positive,work hard offer best google experience bring together ai software right lot synergistic stage main way today core product use hardware drive rest compute ecosystem get leverage effect scale hardware effort definitely look kind experience look something like google home hub deliver nice experience across assistant youtube photo definitely see glimpse invest realize
435,neutral,pick ai everyone highlight well conversation advertiser suggest product like smart bid become pretty increasingly popular tool add bid pickup among especially among local think target market without sale talk two company transition increase talk collect deal data lake well analyze data help standpoint run feel like current technology disposal sophisticate enough keep need run company collect data across
436,positive,think two first question around use machine learn help serve advertiser good able reach new smbs local definitely think highlight excite whenever do work like last year last couple year universal app campaign smart shop campaign last responsive search great example bring make process much easy advertiser size see think natural extension u continue work help u reach smbs local advertiser good think good second part want make sure understand ask invest security think foundation everything past always realize deep responsibility come come steward everything design design privacy security core investment secure data literally practice across quality talent security team time use ai core part take
437,neutral,good review shop product fourth mention shop report walmart decide leave program recently think public comment social medium googlers confirm would love hear little bite maybe broadly traction shop action price per sale metric roll holiday quick one could return prepare couple sort thing keep mind one fx go tailwind talk new experience rollout time want reference experience roll generally best practice general thank
438,positive,think launch shop action march last definitely see strong traction think see roughly sevenfold increase merchant program since launch announce new partnership best sephora term walmart one deep partner remain strategy partner across multiple business include google ad effort underway work close together definitely large partner continue experiment support many excite effort shop see u focus see user come google lot around key shop moment want make sure invest experience get close
439,positive,key driver content acquisition primarily mostly advertise support content seasonally strong quarter also new subscription youtube premium youtube tv high cac percentage cost associate data center include depreciation hardware relate cost make google nest family
440,neutral,second talk prior often talk fact remain commit revenue growth point try underscore time scale inherently difficult inconsistent main point remain excite opportunity user build comment apply machine learn
441,neutral,thank two quick one first project stream youtube wonder important invest original content well might view rollout catalyze consumer adoption discover know still pretty curious color usage engagement way expect monetize fee near thank
442,neutral,project able deliver game kind low latency definitely u important compute think help u drive new compute platform work service like point inflection roll think virtuous early feedback project stream experience super look build see u think traction measure user engagement satisfaction happiness anything new metric really obviously offer best experience today product like make google look scale reach think strong product think synergistic search look bring best see u reach user
443,neutral,thank couple look like google core margin point easy wonder give u thought core advertise business know lot investment cloud hardware youtube would like get update health advertise business thought ever segment second question cloud pretty big leadership wonder new strategy new thing year cloud relate management look forward cloud conference thank
444,positive,term overall google think main point see margin continue see tremendous opportunity across invest support revenue earn talk lot call already importance machine learn key component incremental capex technical infrastructure support exist exist also new kind flow talk prior call mindful fact capex turn single continue see tremendous opportunity ad search ad business beyond machine learn invest continue enhance experience user across mobile desktop big priority expand availability content call next billion user u really important excite growth opportunity deliver experience across also invest enable visual way find photo invest aggressively new business within cloud hardware sunder already see reflect margin cost revenue side impact product mix talk big part ongoing strength youtube opex side invest google well sale market increase headcount support particular
445,positive,second question answer around anthony add little bite maybe change well plan diane thomas together plan big thing go see continue focus global definitely see traction large multiyear multimillion dollar contract see u focus continue invest expand sale distribution channel meet customer go important area mostly highly focus industry major solution area think impact direct resource towards effort probably something see continue emphasis
446,neutral,two lot discussion right alternative google play app store large developer start come workarounds around app store think think right rate google come back headcount capex growth moderate expense grow well excess revenue time core google low operate income growth since start disclose flag change material change small amount moderation thank
447,positive,google thousand developer rely safely seamlessly distribute game billion android user invest lot infrastructure continuously make sure overall experience safe result high engagement think value exchange industry think continue path obviously always adapt market
448,positive,term pace already lay focus area commitment continue invest support revenue earn growth want put fine point capex indicate open expect rate capex growth slow scale business focus user require commit continue invest capex deliver term expect see uptick data center investment relative point ask growth rate moderate term try make clear growth headcount moderate somewhat
449,positive,cash position double last five year yet last four year right around well curious seem like core hesitation see term valuation factor play relative peer right
450,positive,operate expense big increase large driver headcount follow accrual compensation expense reflect increase valuation equity certain growth sale market expense reflect increase sale market headcount primarily cloud ad follow advertise investment mainly search growth expense reflect mostly increase
451,positive,always approach think really always evaluate high u find right fit rather constrain anything think always important part strategy do great acquisition thing like youtube android big acquisition continue look opportunity
452,neutral,real quick magnitude think go back probably investor surprise sound like perspective really look margin structure look say tremendous opportunity need make investment think many try search framework think investment cycle right
453,positive,reason start lay response question margin invest look focus invest support revenue earn mindful capex impact free cash flow earn try get invest neither work value mindful pace try lay work look opportunity set make
454,neutral,lady thank participate conclude program may everyone great
455,positive,unit think unit number require include fast grow thing dave subscription whole food unit focus much number direct supplemental revenue guidance break component feel good growth
456,neutral,may discus certain financial press slide accompany webcast file post ir find additional disclosure regard include reconciliation measure comparable gaap
457,neutral,guidance incorporate order trend see date believe today appropriate result inherently unpredictable maybe materially affect many include fluctuation foreign exchange change global economic condition customer world rate growth online commerce cloud various factor detail file
458,neutral,guidance also among conclude additional business restructure legal possible accurately predict demand good actual result could differ materially
459,neutral,thank guess ask feel overall unit growth give growth high last year think investment make area kind reaccelerate go
460,neutral,second question subscription say last probably relate adoption account standard update revenue recognition policy impact result number area say anticipate million low sort headwind subscription service revenue due account come see report subscription service revenue increase exclude million certainly part decelerate sequential deceleration growth rate line
461,neutral,could talk advertise qualitatively spend lot market real step want talk roi think get market
462,neutral,thank want follow big new policy change view attractiveness potential operate india think investment strategy near also hop could talk impact u uk free ship fourth quarter
463,positive,still evaluate situation feel good long term prospect india good job indian customer indian new regulation need need need make sure unintended think necessarily consistent good good selection good convenience indian say topic right
464,positive,think second point around ship offer low free ship threshold ahead fourth customer take advantage great offer brian talk little bite please holiday sort first party also seller continue part holiday sell number record break number alexa device well think ship really please continue engagement prime ever number prime member sign quarter quarter really please
465,neutral,thank next question come line mark may
466,positive,think particular great quarter customer lot strength retail part team do great prepare execute aws maintain strong growth rate continue deliver great reinvent conference feel good growth quarter also total revenue
467,neutral,thank try back impact factor like whole advertise account change see stable pretty healthy revenue growth retail slowdown seem recent meaningful gross margin expansion retail discus may drive think retail gross margin go
468,neutral,somewhat retail margin last year benefit several include modest hire modest growth fulfillment center see factor persist
469,positive,thank let start last think step back put clear trend regard cost start fulfillment prior two grow square footage tie fulfilment ship great number grow unit demand afn amazon fulfil demand combine fba remain large expansion prior two similarly grow headcount exclude acquisition whole food drive number close last lot leverage lot lot pre hire digest still especially thing like core retail business also continue invest technology tie aws sale team aws device group grow considerably high company grow
470,positive,especially infrastructure use capital lease slide maybe indicator invest aws business support infrastructure global number grow last grow lot bank efficiency investment infrastructure put place continue concurrently drive growth customer offer prime certainly take cost seriously continue work operational would expect investment increase relative reflect see far
471,neutral,thank next question come line heath terry goldman
472,positive,thank little bite dig little bite deep capex capital lease side guy say past generally work build line expectation try build build think fulfilment data center saw investment fourth hit low reference anything read sort expectation growth see reacceleration deceleration saw course least first three quarter last
473,neutral,see total capex grow negative positive quarter bite investment relative still think low number talk support aws business still grow high clip strong healthy growth fba customer demand expansion new aws also core consumer prepare give forecast year right would say would consider light investment year light year add fix headcount certainly compare reveal go build first quarter expect first three
474,neutral,next question come line brian nowak morgan
475,neutral,thank take first one go back fourth quarter gross think try back look like little gross margin talk put take know gross margin perspective fourth quarter line think include advertise help help growth advertise business impact account change
476,positive,sorry skip gross margin question gross margin well basis point much prior would say positive tailwind still aws strong growth fx neutral third party unit continue advertise dollar continue grow would outbound ship include free ship high amazon fulfil unit great use amazon would also say retail
477,negative,first question let start incorporate guidance best estimate much uncertainty impact government rule change go sector remain commit comply law evaluate main issue main concern try minimize impact customer seller build business around price selection think change help dimension customer india also
478,neutral,think dave echo dot high sell unit device strong sale discus price device make usually expand expand device group customer use device monetize different way commitment amazon video everything bite would say low gross margin revenue treatment strong
479,neutral,revenue get back account adopt revenue recognition standard part certain advertise service classify revenue rather reduction cost specific impact change increase approximately billion see revenue total
480,neutral,thank next question come line colin sebastian robert
481,neutral,guess two look consider india impact go international growth curious particular region product category call especially give weakness marketplace fee change several include home health curious strategy assume expand also indication increase focus retail
482,neutral,let start second third party seller important part value proposition great success half unit sell third party important u right business amazon always evolve part involve change fee add new fee subtract old part involve raise lower fee seller go see continually generally work change fee make sure incentive strong side continue healthy growth third
483,neutral,fx neutral growth last talk time diwali impact growth adjust diwali take place primarily year split last adjust international growth pretty flat
484,neutral,thank next question come line lloyd walmsley deutsche
485,neutral,two advertise hear lot positive feedback also hear suggestion supply guy see inventory growth versus price growth driver business thing grow
486,neutral,amazon ship effort kind expand beyond test wonder give u sense see test market think expand ship effort productized basis go
487,positive,thank take advertise piece think talk work improve usability priority certainly one look way make smart address need automate incenting new product think regard think good growth continue come advertise also potentially long even look advertise opportunity place like think lot opportunity lot think learn data interest company work lot great brand able develop good toolkits understand type metric want make successful base tell
488,positive,think continue lot focus serve customer one thing try continually evolve tool product help customer set make sure get variety way meet thing do recently last month expand sponsor roll new campaign improve campaign manager number number thing beyond feature go make easy company grow ad tool ad service offer continually excite opportunity
489,positive,assume talk expansion amazon delivery amazon great partner place business support add capacity feel need speed service ensure particularly continue build dsp flex chip amazon much big presence obviously happy performance delivery estimate accuracy call strong product also cost profile good
490,neutral,next question come line eric sheridan
491,negative,thank take maybe two one medium term investment around medium content support ambition respect prime couple year since get update rate spend might impact either historical period go forward would number number go back question advertise think video move beyond brand opportunity sponsor product search property think experiment top video connect tv opportunity go thank
492,positive,let start quantify prime video spend expect increase even see lot continue strong adoption usage view hour watch music season video step build strong prime connectivity prime high membership renewal rat high overall see continue see engagement would say particular success recently golden globe nomination oscar nomination jack ryan homecoming season two well receive
493,positive,second around advertise opportunity around may see long imdb internet movie one launch ad support free stream video channel available u enable customer watch tv show movie without purchase ad available imdb website laptop personal computer think definitely fire tv device well great way consume think excite opportunity work video bite long period time thing like sport live sport thing like thursday night really like success see learn look forward pursue opportunity engage serve customer type video also take opportunity monetize
494,neutral,next question come line jason helfstein
495,negative,advertise slow relative third kind adjust reallocation segment online physical store commentary physical store
496,negative,jason let start physical store physical store decrease primarily whole also include amazon book amazon amazon happen quarter lap period last year purchase whole food remember adjust fiscal calendar link add day revenue last comping second piece online order people go prime app order delivery pick whole food store count count online store component adjust whole food growth basis approximately mostly account true show negative physical
497,neutral,second question around look growth rate decelerate still growth fourth quarter revenue think number large good margin advertise revenue comping period rapid growth prior part factor continue see quite strong adoption across type advertiser utilize
498,neutral,good return comment early increase use amazon surprise curious holiday particular learn offer color view balance use proprietary logistics versus third party go quick obviously news come would highlight maybe important next step maybe color feedback would interest hear thank
499,positive,question market percent revenue basis point category also include aws sale market keep lot headcount investment headcount grow area grow mix thing like technology device especially sale variable market pretty consistent prior period feel good return investment variable
500,positive,start announce select new york city northern virginia two invest billion create also announce operation center excellence open estimate right work next issue look forward invest new york northern virginia good community partner well really much else report time comment question continue expand amazon logistics delivery capability also match fast ship speed see prime member million item customer would get within two million deliver within one day fast city amazon delivery big part great third party partner well transportation like ability participate transportation lot cost good like cost profile also invest selectively perfect information know demand know move thing warehouse sort center involve third party find extend ship cut excuse order cutoff do last also another helpful side benefit consumer excuse transportation final
501,neutral,thank final question come line ross sandler
502,negative,aws operate margin historically kind move around color drive decline sequentially guess go back investment catch sound like little bite aggressive push parse whether expect pace retail margin expansion see north america right go continue investment go international stuff go india color north america operate margin
503,positive,let start aws operate call number move please saw point business go combination lower expand add people especially tech team sale team build new innovative product stay relevant ahead well balance quarter capital lease expenditure bite high prior three slight impact operate operate margin almost basis say quite openly go bounce create great value customer one end work minimize cost infrastructure get creative around get efficiency get cost acquisition
504,neutral,thank join u call today replay available investor relation site least end appreciate interest amazon look forward talk next
505,neutral,thank stand good welcome financial result participant conduct call
506,neutral,open turn call director investor dave please go
507,neutral,welcome financial result conference join u today answer question brian listen conference encourage press release front include financial result well metric commentary please unless otherwise comparison call result comparable period
508,neutral,comment response question reflect view january include actual result may differ additional information factor could potentially impact financial result include press release file include recent annual report form subsequent
509,positive,thank good welcome fourth quarter earn conference join today discus result mark sheryl dave
510,positive,continue make progress major social important work keep execute road map build system proactively identify harmful content act finish year heavy investment get system good see result recent include midterm transparency report percent violate content identify end people work safety people couple year work never believe build advance system world deal
511,neutral,lloyd walmsley
512,neutral,two sound like really clear shift year aggressive core product talk lot area across instagram payment whatsapp many would point could material contributor revenue next year would call look story ad difference see sophisticate advertiser small advertiser either term adoption see inhibition success among small advertiser think compete effectively creative
513,neutral,david wehner
514,positive,take take first one term material contributor think lot say commerce broadly important vertical advertise success build continue build good advertise product client advertise side important contributor revenue foreseeable future new would focus think still small early anything contribution point view think question story think sheryl take
515,neutral,sheryl sandberg
516,positive,take million advertiser obviously see broad adoption mean large advertiser small definitely case sometimes small advertiser advertiser sometimes move one thing proud mark talk remark take tool previously available large company make available small one thing learn year easy make whether really big really work do take take post create story automatic think make share one specific example cetaphil skin care run video ad across ig instagram instagram fee target canadian woman age measure way sale saw almost lift store want get marketer use use technology automatic show people thing interest ad good really help ring cash register know dollar pound euro well push
517,neutral,mark zuckerberg
518,positive,add one think david say couple think worth emphasize excite road map go great long growth business next quarter near term go mostly base growth story core news fee story lot work still go make monetize level news confident go get want make sure give right outlook expect near future
519,neutral,operator
520,neutral,next question come line mark may
521,negative,raise broad set value question use one question decide speech acceptable right deliberative process consult expert around increasingly come believe make many decision content write note blueprint system content governance include give people ability appeal internal content decision independent currently work expert design system plan start pilot
522,neutral,mark may
523,negative,regard story give size whatsapp audience amount status post curious early learn test status ad whatsapp optimistic become interest meaningful opportunity go term story story consumption impression volume core facebook ad seem maybe scale fast maybe even comment last year suggest think actually pose sort issue growth plan least
524,neutral,sheryl sandberg
525,neutral,ad ad something future thing remain focus consumer experience whatsapp business help business connect grow well monetization opportunity
526,neutral,david wehner
527,positive,story story big success impression growth please see optimistic ability grow story facebook much early facebook continue work build format
528,neutral,mark zuckerberg
529,positive,add story facebook grow think go get need get start little bite early good need think good work grow quite confident go
530,neutral,operator
531,neutral,next question come line ross sandler
532,neutral,another important issue future privacy people really value privacy encrypt message bring build secure global message service people increasingly share work make product encrypt default make product ephemeral information stick around discus come
533,neutral,ross sandler
534,neutral,question learn monetization effort get inbox ad mention story ad start enter see excite far monetize might applicable point future mention payment know guy work little thought go play term geographic market might kind see future opportunity
535,neutral,sheryl sandberg
536,neutral,approach monetization anywhere always cautious move slowly remain primarily focus consumer growth real focus organic connection business really strong channel customer billion message send people business every include automate message continue make progress start roll story early day think long road also probably worth note experience move facebook instagram fee similar facebook fee term messenger message story one click different click different go real work
